Event	ID	Name			Wwise Object Path	Notes
	1264945005	PlaySwords			\Default Work Unit\PlaySwords	
	1640319276	InitializeMusic			\Default Work Unit\InitializeMusic	

State Group	ID	Name			Wwise Object Path	Notes
	1208172739	States			\Default Work Unit\States	

State	ID	Name	State Group			Notes
	748895195	None	States			
	2607556080	Menu	States			
	2727857118	Prepare	States			
	2937832959	Battle	States			

Game Parameter	ID	Name			Wwise Object Path	Notes
	2470328564	Intensity			\Default Work Unit\Intensity	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	652040052	DRUMSP2	Y:\f16-game-jam\GameJam_WwiseProject\.cache\Mac\SFX\DRUMSP2_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\MusicSwitch\BattleMusic1\P2\DRUMSP2		1295904
	740169552	Sword1	Y:\f16-game-jam\GameJam_WwiseProject\.cache\Mac\SFX\Sword1_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Swords\Sword1		278616
	752181223	AmbientBrass_P1	Y:\f16-game-jam\GameJam_WwiseProject\.cache\Mac\SFX\AmbientBrass_P1_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\MusicSwitch\PrepareMusic\P3\AmbientBrass_P1		2344448
	764119759	DRUMSP4	Y:\f16-game-jam\GameJam_WwiseProject\.cache\Mac\SFX\DRUMSP4_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\MusicSwitch\BattleMusic1\P2\DRUMSP4		1558048
	820963112	CelliLushP3	Y:\f16-game-jam\GameJam_WwiseProject\.cache\Mac\SFX\CelliLushP3_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\MusicSwitch\BattleMusic1\P3\CelliLushP3		1033760
	833176625	CelliLushP1	Y:\f16-game-jam\GameJam_WwiseProject\.cache\Mac\SFX\CelliLushP1_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\MusicSwitch\BattleMusic1\P1\CelliLushP1		1033760
	834048381	AmbientP1	Y:\f16-game-jam\GameJam_WwiseProject\.cache\Mac\SFX\AmbientP1_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\MusicSwitch\PrepareMusic\P3\AmbientP1		1295872
	834697026	DragonDrumP6	Y:\f16-game-jam\GameJam_WwiseProject\.cache\Mac\SFX\DragonDrumP6_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\MusicSwitch\BattleMusic1\P1\DragonDrumP6		1033760
	848158667	CelloLushBP2	Y:\f16-game-jam\GameJam_WwiseProject\.cache\Mac\SFX\CelloLushBP2_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\MusicSwitch\BattleMusic1\P2\CelloLushBP2		1033760
	878305729	CelliLushP4	Y:\f16-game-jam\GameJam_WwiseProject\.cache\Mac\SFX\CelliLushP4_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\MusicSwitch\BattleMusic1\P4\CelliLushP4		1033760
	890173490	DRUMSP5	Y:\f16-game-jam\GameJam_WwiseProject\.cache\Mac\SFX\DRUMSP5_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\MusicSwitch\BattleMusic1\P4\DRUMSP5		1558048
	931872786	Sword2	Y:\f16-game-jam\GameJam_WwiseProject\.cache\Mac\SFX\Sword2_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Swords\Sword2		278616
	934052982	ViolinsStacB_P2	Y:\f16-game-jam\GameJam_WwiseProject\.cache\Mac\SFX\ViolinsStacB_P2_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\MusicSwitch\BattleMusic1\P2\ViolinsStacB_P2		771616
	936560261	ViolinsStacB_P4	Y:\f16-game-jam\GameJam_WwiseProject\.cache\Mac\SFX\ViolinsStacB_P4_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\MusicSwitch\BattleMusic1\P4\ViolinsStacB_P4		771616
	965402095	BassStacB_P4	Y:\f16-game-jam\GameJam_WwiseProject\.cache\Mac\SFX\BassStacB_P4_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\MusicSwitch\BattleMusic1\P4\BassStacB_P4		509472
	995378731	BassStacB_P2	Y:\f16-game-jam\GameJam_WwiseProject\.cache\Mac\SFX\BassStacB_P2_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\MusicSwitch\BattleMusic1\P2\BassStacB_P2		509472
	1041697857	ViolinsStacP5	Y:\f16-game-jam\GameJam_WwiseProject\.cache\Mac\SFX\ViolinsStacP5_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\MusicSwitch\BattleMusic1\P3\ViolinsStacP5		771616
	1048969433	DragonDrumP1	Y:\f16-game-jam\GameJam_WwiseProject\.cache\Mac\SFX\DragonDrumP1_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\MusicSwitch\Menu\Phrase1\DragonDrumP1		1558048

